2025-09-18 08:57:15.253 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-18 08:57:15.261 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-18 09:39:23.360 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-18 09:39:23.362 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-18 09:42:19.553 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-18 09:42:19.554 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-18 09:42:56.242 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-18 09:42:56.244 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-18 09:44:02.746 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-18 09:44:02.748 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-18 09:44:58.713 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-18 09:44:58.714 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-18 09:52:02.655 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-18 09:52:02.656 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-18 09:52:43.845 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-18 09:52:43.846 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-18 09:56:45.613 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-18 09:56:51.136 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-18 09:56:56.934 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-18 09:57:02.286 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-18 09:57:08.019 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-18 09:57:14.174 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-18 09:57:22.570 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-18 09:57:34.340 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-18 09:57:41.531 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-18 09:57:42.118 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-18 09:57:42.118 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-19 07:45:54.981 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-19 07:45:55.255 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-19 07:45:55.256 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-19 07:46:42.016 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-19 07:46:42.275 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-19 07:46:42.275 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-19 07:49:31.590 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-19 07:49:31.915 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-19 07:49:31.916 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-19 07:49:42.677 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-19 07:49:42.957 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-19 07:49:42.957 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-19 07:50:01.495 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-19 07:50:01.950 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-19 07:50:01.950 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-19 07:51:41.347 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-19 07:51:41.755 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-19 07:51:41.756 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-19 07:52:29.473 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-19 07:52:29.926 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-19 07:52:29.927 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-19 07:53:31.418 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 1 строк из Test:Users
2025-09-19 07:53:31.701 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-19 07:53:31.702 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-19 07:53:38.689 | INFO     | utils.google_sheet:upload_dataframe:68 - DataFrame (0 строк) выгружен в Test:Users
2025-09-19 07:54:50.880 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 0 строк из Test:Users
2025-09-19 07:54:51.165 | INFO     | __main__:on_startup_callback:14 - BOT STARTING...
2025-09-19 07:54:51.166 | INFO     | __main__:on_startup_callback:16 - BOT STARTED!.
2025-09-19 07:54:58.779 | INFO     | utils.google_sheet:upload_dataframe:68 - DataFrame (0 строк) выгружен в Test:Users
2025-09-19 07:58:49.507 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 0 строк из Test:Users
2025-09-19 07:58:54.687 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 0 строк из Test:Users
2025-09-19 07:58:58.926 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 0 строк из Test:Users
2025-09-19 07:59:03.740 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 0 строк из Test:Users
2025-09-19 07:59:08.450 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 0 строк из Test:Users
2025-09-19 07:59:14.651 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 0 строк из Test:Users
2025-09-19 07:59:22.377 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 0 строк из Test:Users
2025-09-19 07:59:33.436 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 0 строк из Test:Users
2025-09-19 07:59:50.607 | INFO     | utils.google_sheet:load_to_dataframe:34 - Загружено 0 строк из Test:Users
